input,output
"This product completely exceeded my expectations.",0.97
"I regret buying this almost immediately.",0.05
"It's decent for the price but nothing amazing.",0.58
"The support team was patient and very helpful.",0.91
"I’ve never been so frustrated with an app before.",0.02
"The food arrived cold and tasted bland.",0.14
"Honestly, it works fine most of the time.",0.63
"I’m extremely impressed by the build quality.",0.95
"The update made everything slower and buggy.",0.11
"It’s okay, not great but not terrible either.",0.50
"This was one of the best experiences I’ve had.",0.99
"The interface feels outdated and confusing.",0.23
"I absolutely love the new design.",0.96
"The battery life is disappointingly short.",0.19
"It solved my problem instantly.",0.93
"I wish I hadn’t wasted my money on this.",0.04
"The packaging was neat and professional.",0.81
"The instructions were unclear and frustrating.",0.21
"It’s surprisingly good for such a cheap product.",0.84
"I’m not impressed at all.",0.18
"The staff were incredibly friendly.",0.90
"The software crashes every few minutes.",0.03
"It gets the job done without much hassle.",0.67
"I couldn’t be happier with my purchase.",0.98
"The sound quality is mediocre at best.",0.39
"Delivery was much faster than expected.",0.89
"I had high hopes, but this was disappointing.",0.16
"It feels premium and well designed.",0.92
"The movie was boring and far too long.",0.12
"I enjoyed using it more than I expected.",0.82
"The customer service never responded.",0.07
"It’s average, nothing really stands out.",0.52
"The performance has been consistently reliable.",0.88
"I hate how complicated the setup process is.",0.09
"This restaurant serves amazing food.",0.97
"The chair became uncomfortable after an hour.",0.31
"I’m genuinely satisfied with the results.",0.86
"The website is painfully slow.",0.13
"It’s not perfect, but it works well enough.",0.61
"This is exactly what I was looking for.",0.94
"The quality control seems nonexistent.",0.06
"The colors look vibrant and beautiful.",0.87
"I expected a lot more for the price.",0.24
"The experience was smooth from start to finish.",0.93
"I’m pretty neutral about it honestly.",0.50
"The coffee tasted burnt and bitter.",0.15
"The latest patch fixed most of the issues.",0.79
"It broke after only two days of use.",0.08
"I would definitely recommend this to friends.",0.95
"The wait time was unbearably long.",0.17
"The app has some nice features.",0.72
"I felt completely ignored by the staff.",0.10
"The camera quality is fantastic.",0.91
"It’s serviceable but uninspiring.",0.46
"This exceeded all my expectations.",0.99
"The product arrived damaged.",0.05
"The gameplay is addictive and fun.",0.92
"I’m disappointed with how cheaply it’s made.",0.20
"It performs exactly as advertised.",0.85
"The room was dirty and smelled awful.",0.01
"The headphones are comfortable for long sessions.",0.88
"I don’t really have strong feelings about it.",0.50
"The checkout process was quick and easy.",0.83
"I’m tired of dealing with constant bugs.",0.07
"The presentation was clear and engaging.",0.90
"The texture feels rough and unpleasant.",0.27
"I was pleasantly surprised by the quality.",0.89
"It’s frustratingly inconsistent.",0.22
"The atmosphere was warm and welcoming.",0.94
"The subscription price is way too high.",0.18
"I had a pretty good time overall.",0.78
"The controls are clunky and unresponsive.",0.14
"The team did an outstanding job.",0.96
"It’s functional, but barely.",0.35
"The visuals are stunning.",0.97
"The customer support experience was awful.",0.03
"I think it’s worth trying at least once.",0.69
"The material feels cheap and flimsy.",0.16
"I’ve been very happy with the performance.",0.91
"The entire process was stressful.",0.12
"The new feature is incredibly useful.",0.88
"It failed to meet even basic expectations.",0.06
"The seats were surprisingly comfortable.",0.81
"The sound cuts out randomly.",0.11
"I love how intuitive everything feels.",0.95
"It’s acceptable but could use improvements.",0.57
"The dessert was absolutely delicious.",0.98
"The delays completely ruined the experience.",0.09
"The setup was easier than expected.",0.84
"I’m disappointed by the lack of features.",0.25
"This app has made my workflow much smoother.",0.93
"The device overheats constantly.",0.04
"The customer care representative was amazing.",0.92
"I don’t think I’d buy this again.",0.28
"The quality is consistent and dependable.",0.87
"The animation looked cheap and rushed.",0.19
"It works exactly the way I hoped.",0.94
"The smell was overpowering and unpleasant.",0.13
"I’m genuinely impressed with the service.",0.96
"It’s fine for casual use.",0.64
"The event was chaotic and poorly organized.",0.08
"The overall experience was delightful.",0.97
